Elo Rank	Player	Age	Elo		hElo Rank	hElo	cElo Rank	cElo	gElo Rank	gElo		Peak Elo	Peak Month		WTA Rank	Log diff
239	Katie Swan	26.6	1519.1		213	1506.5	290	1395.2	214	1450.6		1661.3	2022-10		270	-0.12
240	Fiona Crawley	23.7	1515.4		232	1486.2	342	1344.0	238	1432.7		1590.4	2025-08		240	0
241	Mingge Xu	18.1	1515.3		244	1477.0	310	1372.6	277	1403.8		1566.3	2025-12		230	0.05
242	Chloe Paquet	31.4	1514.6		258	1456.4	217	1477.2	306	1386.9		1631.4	2024-08		237	0.02
243	Martina Trevisan	32.0	1513.2		226	1491.8	196	1505.7	420	1329.2		1803.7	2022-05		696	-1.05
244	Kajsa Rinaldo Persson	28.0	1512.3		254	1458.3	253	1430.9	344	1364.3		1554.8	2025-10		271	-0.10
245	Gabriela Andrea Knutson	28.6	1511.1		229	1491.0	382	1310.7	216	1450.0		1597.5	2024-07		182	0.30
246	Camilla Rosatello	30.5	1511.1		278	1427.1	188	1513.6	328	1372.8		1569.5	2025-10		215	0.13
247	Yeon Woo Ku	22.6	1510.1		236	1482.4	316	1370.1	244	1430.1		1521.1	2025-11		189	0.27
248	Emina Bektas	32.5	1509.5		238	1481.6	375	1314.9	197	1464.9		1692.4	2023-10		304	-0.20
249	Destanee Aiava	25.5	1509.0		225	1493.2	277	1412.4	298	1392.5		1640.5	2025-02		235	0.06
250	Sayaka Ishii	19.8	1508.9		242	1477.4	324	1363.7	200	1461.0		1577.3	2025-03		408	-0.49
251	Ekaterine Gorgodze	33.9	1507.7		275	1430.0	219	1474.7	208	1453.5		1609.9	2021-08		176	0.35
252	Kristina Dmitruk	21.9	1507.2		223	1494.7	230	1460.5	297	1392.6		1588.2	2025-03		359	-0.35
253	Aliona Bolsova	28.0	1507.2		262	1445.6	209	1488.4	274	1406.6		1726.6	2019-05		231	0.09
254	Anouk Koevermans	21.8	1507.0		274	1431.5	185	1518.5	291	1397.1		1669.6	2024-08		194	0.27
255	Wakana Sonobe	17.7	1506.0		197	1523.0	372	1321.2	248	1428.0		1733.6	2025-04		227	0.12
256	Jodie Burrage	26.3	1505.5		227	1491.4	330	1359.1	196	1465.0		1712.3	2023-07		282	-0.10
257	Ekaterina Reyngold	24.5	1505.3		249	1472.2	249	1436.3	249	1427.6		1523.5	2025-10		296	-0.14
258	Lisa Pigato	22.4	1504.9		235	1484.2	218	1476.1	174	1486.0		1620.8	2021-05		266	-0.03
259	Harmony Tan	28.0	1503.8		247	1473.4	312	1371.6	160	1498.8		1709.7	2022-08		214	0.19
260	Tyra Caterina Grant	17.7	1501.6		266	1441.1	226	1462.8	251	1425.8		1624.6	2025-06		234	0.11
261	Noma Noha Akugue	21.9	1501.5		250	1470.4	247	1438.3	330	1372.3		1668.1	2023-08		269	-0.03
262	Anastasia Gasanova	26.4	1500.8		260	1452.5	220	1473.1	233	1436.5		1644.4	2022-01		212	0.21
263	Viktoria Hruncakova	27.5	1497.1		251	1467.7	252	1431.4	261	1416.5		1890.8	2018-06		219	0.18
264	Amarissa Kiara Toth	22.7	1495.4		284	1416.7	216	1480.3	252	1422.7		1605.7	2025-06		257	0.03
265	Kayla Cross	20.6	1494.5		239	1480.9	332	1357.3	406	1335.4		1509.9	2025-11		195	0.31
266	Lina Gjorcheska	31.3	1492.2		300	1404.0	207	1493.2	241	1431.9		1636.7	2017-04		202	0.28
267	Ye Xin Ma	26.4	1491.1		248	1472.9	406	1294.2	283	1401.9		1510.7	2025-11		228	0.16
268	Sijia Wei	21.9	1488.3		219	1499.2	373	1319.0	294	1393.5		1762.6	2025-01		287	-0.07
269	Kyoka Okamura	30.1	1486.8		264	1442.0	338	1348.3	154	1506.6		1537.8	2025-09		324	-0.19
270	Vitalia Diatchenko	35.1	1486.6		253	1465.5	288	1400.4	239	1432.7		1829.9	2014-11		529	-0.67
271	Miriam Bianca Bulgaru	27.1	1485.7		359	1353.6	241	1444.5	318	1380.2		1590.4	2024-09		196	0.32
272	Arina Rodionova	35.9	1484.7		252	1467.2	301	1379.3	209	1453.5		1643.7	2017-07		206	0.28
273	Elena Ruxandra Bertea	19.5	1483.8		315	1388.5	224	1465.5	260	1416.9		1576.2	2025-09		299	-0.09
274	Despina Papamichail	32.8	1481.3		299	1406.3	235	1454.9	226	1441.1		1551.5	2022-10		157	0.56
275	Martyna Kubka	24.6	1478.6		256	1457.9	319	1369.2	263	1414.3		1478.6	2025-12		323	-0.16
276	Alexis Blokhina	21.1	1476.3		261	1448.6	281	1409.4	264	1413.2		1509.6	2025-06		363	-0.27
277	Ana Konjuh	27.4	1473.0		245	1476.2	257	1429.5	199	1461.3		1911.8	2017-02		640	-0.84
278	Manon Leonard	24.8	1471.5		222	1496.1	456	1259.0	411	1333.9		1574.5	2024-03		199	0.33
279	Mia Ristic	19.5	1470.5		325	1380.2	258	1429.5	268	1410.3		1662.1	2023-11		267	0.04
280	Mariia Tkacheva	23.2	1469.0		237	1481.7	380	1312.1	269	1409.5		1595.2	2024-11		417	-0.40
281	Yuriko Miyazaki	30.0	1468.2		271	1435.3	401	1296.5	253	1420.4		1629.1	2023-01		241	0.15
282	Vendula Valdmannova	17.9	1467.6		268	1440.6	395	1301.5	270	1408.8		1484.4	2025-12		313	-0.10
283	Ariana Geerlings	19.9	1465.7		376	1335.9	261	1427.6	271	1407.8		1485.3	2025-07		331	-0.16
284	Marina Bassols Ribera	25.9	1462.3		267	1440.8	254	1430.8	262	1415.2		1675.3	2024-01		236	0.19
285	Leyre Romero Gormaz	23.5	1459.7		272	1435.1	268	1424.4	323	1375.3		1656.1	2024-06		140	0.71
286	Amarni Banks	23.1	1459.2		276	1428.4	367	1324.8	275	1406.1		1555.1	2024-01		327	-0.13
287	Laura Pigossi	31.3	1458.0		265	1441.5	272	1418.5	393	1340.2		1607.5	2024-06		198	0.37
288	Ane Mintegi Del Olmo	22.0	1457.3		291	1411.7	263	1427.2	278	1403.7		1542.7	2025-06		361	-0.23
289	Lizette Cabrera	27.9	1456.0		289	1412.7	337	1349.0	234	1435.9		1588.0	2017-11		275	0.05
290	Luisina Giovannini	19.0	1455.2		370	1342.6	246	1438.3	281	1402.6		1481.2	2025-12		220	0.28
291	Silvia Ambrosio	28.8	1453.7		373	1338.4	240	1444.6	284	1401.9		1533.3	2023-06		213	0.31
292	Eva Vedder	26.0	1453.5		259	1456.3	279	1411.0	265	1412.2		1577.5	2025-08		222	0.27
293	Arianne Hartono	29.6	1452.8		270	1435.5	306	1375.4	342	1364.6		1610.6	2024-02		255	0.14
294	Rada Zolotareva	17.1	1450.9		332	1376.3	345	1340.5	286	1400.5		1508.9	2025-09		513	-0.56
295	Katherine Sebov	26.8	1448.9		269	1436.8	305	1376.1	310	1384.6		1701.7	2023-04		243	0.19
296	Selena Janicijevic	23.3	1448.8		283	1417.1	278	1411.0	257	1418.2		1576.3	2024-07		221	0.29
297	Jesika Maleckova	30.9	1448.6		320	1384.2	267	1425.1	361	1353.6		1571.1	2016-06		691	-0.84
298	Emeline Dartron	25.1	1447.4		282	1418.1	284	1405.1	287	1398.7		1525.5	2025-04		500	-0.52
299	Tessah Andrianjafitrimo	27.1	1446.7		294	1410.2	271	1421.1	341	1366.6		1550.6	2024-09		273	0.09
300	Caroline Uebelhoer	29.6	1445.9		314	1388.8	245	1438.5	288	1398.0		1519.2	2025-04		245	0.20
301	Mika Stojsavljevic	16.9	1443.7		286	1414.6	350	1336.9	424	1327.2		1456.5	2025-12		291	0.03
302	Jessica Pieri	28.6	1442.5		337	1371.0	276	1413.1	308	1385.8		1610.2	2021-05		226	0.29
303	Taylah Preston	20.0	1442.4		263	1444.2	359	1329.5	365	1352.6		1747.0	2024-03		205	0.39
304	Darya Astakhova	23.8	1442.3		323	1382.1	229	1461.7	346	1364.0		1642.7	2022-09		427	-0.34
305	Berfu Cengiz	26.1	1441.8		303	1402.6	255	1430.6	322	1376.2		1611.7	2024-06		477	-0.45
306	Anastasiya Soboleva	21.5	1441.4		319	1386.2	269	1421.4	354	1356.8		1571.2	2025-05		263	0.15
307	Jazmin Ortenzi	24.0	1440.9		358	1353.8	262	1427.5	340	1367.1		1500.9	2025-05		217	0.35
308	Mathilde Lollia	25.3	1439.8		399	1306.2	273	1418.0	293	1394.9		1472.7	2025-09		442	-0.36
309	Mei Yamaguchi	26.4	1438.8		280	1424.5	381	1311.0	331	1371.7		1544.4	2025-02		285	0.08
310	Elvina Kalieva	22.3	1436.4		324	1381.5	270	1421.3	370	1350.8		1596.2	2022-01		203	0.42
311	Patricia Maria Tig	31.0	1435.9		304	1398.6	259	1429.1	422	1328.7		1730.1	2020-09		399	-0.25
312	Tiphanie Fiquet	25.5	1435.8		296	1409.7	302	1379.2	295	1392.9		1449.7	2025-10		326	-0.04
313	Amandine Monnot	23.8	1435.4		295	1410.1	331	1358.2	296	1392.7		1446.0	2025-12		407	-0.26
314	Daria Kudashova	22.4	1432.0		298	1407.7	300	1381.0	299	1391.0		1560.3	2024-11		736	-0.85
315	Katarina Zavatska	25.8	1430.7		342	1367.7	265	1426.1	321	1377.1		1720.0	2019-11		337	-0.07
316	Anna Siskova	24.4	1429.0		353	1358.5	280	1410.8	446	1316.7		1506.7	2025-07		259	0.20
317	Hina Inoue	22.4	1425.7		302	1403.6	460	1256.6	314	1382.5		1550.8	2024-10		238	0.29
318	Ranah Akua Stoiber	20.4	1425.7		326	1379.5	387	1309.3	381	1347.4		1450.1	2025-08		444	-0.33
319	Zhibek Kulambayeva	25.4	1425.2		442	1278.3	266	1425.3	303	1387.6		1439.7	2025-09		380	-0.17
320	Ana Sofia Sanchez	31.5	1424.7		312	1389.9	294	1388.6	304	1387.4		1487.1	2025-07		188	0.53
321	Ayla Aksu	29.3	1423.9		310	1390.4	326	1362.5	305	1387.0		1516.1	2017-08		415	-0.26
322	Mai Hontama	26.2	1423.1		308	1394.9	291	1394.1	353	1357.6		1687.6	2024-03		242	0.29
323	Margaux Rouvroy	24.6	1422.9		306	1397.0	313	1371.2	307	1386.4		1545.4	2023-05		377	-0.15
324	Irina Bara	30.3	1422.1		362	1350.6	289	1399.6	443	1317.8		1670.0	2020-09		351	-0.08
325	Irene Burillo Escorihuela	28.3	1421.9		355	1356.5	287	1400.6	362	1353.5		1537.0	2024-06		252	0.25
326	Julia Avdeeva	23.3	1421.1		311	1390.1	283	1407.2	347	1362.9		1654.7	2024-02		288	0.12
327	Carol Zhao	30.2	1420.4		297	1408.5	361	1327.4	258	1417.3		1576.7	2017-11		318	0.03
328	Akasha Urhobo	18.6	1420.4		349	1361.1	292	1389.8	309	1385.2		1525.6	2024-06		332	-0.01
329	Amandine Hesse	32.7	1420.2		318	1386.6	318	1369.6	426	1326.6		1573.3	2015-09		340	-0.03
330	Valentina Ryser	24.6	1419.8		350	1360.5	447	1267.3	173	1486.2		1638.5	2025-06		277	0.18
331	En Shuo Liang	25.1	1419.7		281	1424.3	396	1301.3	245	1429.9		1621.7	2019-05		394	-0.17
332	Maaya Rajeshwaran Revathi	16.3	1416.8		309	1392.9	370	1323.4	312	1383.4		1631.1	2025-02		643	-0.66
333	Ylena In Albon	26.6	1416.4		367	1345.9	299	1385.2	324	1373.9		1591.7	2022-05		405	-0.20
334	Justina Mikulskyte	29.8	1414.6		317	1386.9	275	1415.0	428	1326.0		1527.5	2022-05		216	0.44
335	Matilde Jorge	21.6	1413.1		307	1396.7	363	1325.8	315	1381.5		1519.0	2025-06		268	0.22
336	Raluka Serban	28.4	1411.6		316	1388.2	298	1385.9	301	1388.7		1648.9	2022-04		246	0.31
337	Robin Anderson	32.3	1410.7		321	1383.0	295	1388.4	359	1355.0		1641.1	2019-10		469	-0.33
338	Barbora Palicova	21.7	1409.2		335	1371.6	285	1404.8	313	1383.4		1672.5	2022-11		229	0.39
339	Mina Hodzic	23.4	1407.5		313	1388.9	339	1346.5	352	1360.8		1534.3	2024-04		468	-0.32
340	Anastasia Zolotareva	23.8	1406.8		334	1374.6	311	1372.4	319	1378.4		1431.6	2025-12		303	0.12
341	Gabriela Lee	30.1	1406.5		423	1291.9	282	1408.7	457	1310.9		1608.8	2022-05		329	0.04
342	Sahaja Yamalapalli	24.9	1406.0		336	1371.1	421	1283.9	302	1387.8		1431.2	2024-12		378	-0.10
343	Sohyun Park	23.3	1404.1		288	1414.0	344	1340.7	210	1452.1		1536.6	2019-09		262	0.27
344	Whitney Osuigwe	23.5	1403.7		338	1369.8	286	1404.0	462	1305.8		1799.0	2019-05		152	0.82
345	Isabella Shinikova	34.0	1400.8		285	1416.1	438	1271.9	477	1298.3		1640.8	2019-10		357	-0.03
346	Ayana Akli	24.4	1400.6		290	1411.9	409	1291.0	383	1346.8		1559.9	2025-08		251	0.32
347	Aneta Kladivova	25.3	1397.4		401	1304.5	296	1386.3	326	1373.7		1498.6	2024-08		433	-0.22
348	Kathinka Von Deichmann	31.5	1397.3		341	1368.0	293	1389.8	366	1352.6		1625.3	2022-05		260	0.29
349	Xiaodi You	29.5	1396.7		330	1377.9	354	1332.3	445	1317.0		1517.7	2017-11		283	0.21
350	Nastasja Schunk	22.0	1396.2		348	1361.7	323	1364.2	246	1428.8		1675.1	2022-05		297	0.16
351	Lea Boskovic	26.0	1395.3		329	1378.3	321	1364.8	273	1407.5		1591.8	2024-08		322	0.09
352	Angela Fita Boluda	26.3	1394.9		418	1297.2	314	1371.0	329	1372.4		1561.8	2024-09		261	0.30
353	Sara Saito	19.1	1390.4		293	1410.5	309	1373.2	484	1292.6		1664.6	2024-07		278	0.24
354	Shrivalli Rashmikaa Bhamidipaty	23.8	1390.4		343	1366.5	383	1310.2	332	1370.2		1490.2	2024-02		447	-0.23
355	Astrid Lew Yan Foon	20.2	1389.9		368	1344.3	329	1359.2	333	1369.9		1438.9	2024-04		354	0
356	Eunhye Lee	25.5	1389.2		327	1379.1	385	1309.6	334	1369.6		1436.6	2025-11		310	0.14
357	Martina Colmegna	28.9	1388.9		396	1309.5	325	1363.4	335	1369.5		1526.9	2023-01		450	-0.23
358	Miho Kuramochi	27.4	1388.7		346	1363.1	386	1309.3	339	1367.2		1434.2	2024-01		365	-0.02
359	Yidi Yang	25.9	1388.4		344	1364.0	352	1334.1	336	1369.2		1400.4	2025-09		368	-0.02
360	Francesca Curmi	23.3	1388.2		331	1377.0	317	1370.0	338	1369.1		1502.4	2025-03		341	0.05
361	Tina Nadine Smith	23.4	1388.2		333	1375.0	333	1356.6	337	1369.1		1532.3	2025-02		328	0.10
362	Su Jeong Jang	30.6	1387.0		354	1357.2	274	1415.7	407	1335.0		1643.8	2017-05		665	-0.61
363	Sofya Lansere	25.1	1378.7		322	1382.7	426	1279.4	345	1364.3		1503.5	2024-01		409	-0.12
364	Gabriela Ce	32.7	1378.3		425	1290.1	341	1344.9	400	1337.2		1517.0	2022-05		315	0.14
365	Priska Madelyn Nugroho	22.4	1378.1		352	1359.0	315	1370.2	230	1439.0		1559.9	2020-03		401	-0.09
366	Sada Nahimana	24.6	1375.6		416	1297.5	307	1375.4	348	1362.8		1554.7	2025-05		218	0.52
367	Alicia Herrero Linana	26.9	1375.5		421	1293.9	322	1364.8	349	1362.7		1452.1	2025-10		306	0.18
368	Angelina Voloshchuk	18.4	1375.2		356	1355.3	411	1290.3	350	1362.6		1410.9	2025-09		460	-0.22
369	Anna Sinclair Rogers	27.6	1374.3		371	1342.1	384	1309.9	325	1373.9		1432.3	2024-11		253	0.38
370	Hanna Chang	27.7	1372.9		379	1332.6	297	1386.2	452	1313.3		1505.5	2025-04		317	0.15
371	Alessandra Mazzola	25.7	1372.5		405	1301.3	328	1359.8	351	1361.3		1514.5	2025-07		484	-0.27
372	Lea Ma	24.8	1371.9		360	1352.9	377	1314.4	398	1338.3		1435.9	2025-09		343	0.08
373	Cagla Buyukakcay	36.1	1369.8		363	1350.5	335	1352.1	513	1249.2		1727.7	2016-05		355	0.05
374	Jana Kolodynska	22.2	1368.9		340	1369.3	478	1224.3	438	1320.6		1443.8	2023-10		598	-0.47
375	Fangzhou Liu	29.7	1366.8		347	1362.0	482	1219.5	442	1318.2		1650.7	2015-03		472	-0.23
376	Usue Maitane Arconada	26.9	1366.7		357	1354.9	431	1276.8	389	1344.4		1669.8	2019-09		656	-0.56
377	Maria Sara Popa	20.1	1363.7		465	1249.4	327	1361.5	355	1356.8		1461.0	2023-09		519	-0.32
378	Ikumi Yamazaki	24.2	1363.6		433	1284.8	248	1438.0	356	1356.8		1493.3	2025-08		389	-0.03
379	Elena Malygina	25.4	1363.4		328	1378.4	432	1275.8	242	1431.7		1470.1	2019-02		428	-0.12
380	Karina Miller	23.0	1362.4		345	1363.3	446	1267.5	357	1356.2		1486.9	2024-11		659	-0.55
381	Jia Jing Lu	35.9	1359.9		378	1333.2	369	1323.5	501	1270.5		1530.1	2021-01		412	-0.08
382	Malaika Rapolu	22.5	1359.1		364	1346.9	399	1297.0	360	1354.5		1526.4	2024-11		530	-0.33
383	Haley Giavara	25.0	1358.5		382	1326.4	440	1269.8	343	1364.5		1423.4	2023-07		379	0.01
384	Victoria Rodriguez	30.5	1357.1		369	1344.3	425	1279.8	363	1353.5		1470.7	2015-10		419	-0.09
385	Oana Georgeta Simion	29.5	1355.4		422	1292.7	347	1338.4	364	1352.7		1392.5	2025-06		490	-0.24
386	Julie Belgraver	23.3	1355.2		395	1310.6	371	1322.3	367	1352.6		1581.5	2025-06		258	0.40
387	Elena Micic	21.3	1355.0		375	1336.3	452	1262.4	368	1352.5		1406.5	2025-01		347	0.11
388	Antonia Vergara Rivera	18.9	1352.4		424	1291.2	346	1338.7	369	1351.2		1395.9	2025-11		425	-0.09
389	Samira De Stefano	21.5	1350.7		374	1337.9	481	1220.7	371	1350.3		1395.4	2025-11		338	0.14
390	Carolina Alves	29.6	1350.4		384	1322.6	349	1337.1	473	1301.7		1582.2	2022-05		239	0.49
391	Weronika Ewald	19.7	1350.2		410	1300.0	357	1331.6	372	1350.1		1356.0	2025-11		395	-0.01
392	Dalila Jakupovic	34.6	1350.0		372	1339.2	360	1328.1	455	1311.4		1762.6	2018-07		336	0.15
393	Lisa Zaar	25.5	1349.0		388	1318.1	393	1303.6	373	1349.5		1386.3	2025-11		424	-0.08
394	Radka Zelnickova	22.4	1348.3		391	1317.5	451	1263.0	374	1349.2		1368.0	2025-11		456	-0.15
395	Federica Urgesi	20.8	1348.2		447	1272.2	336	1351.5	375	1349.1		1409.0	2025-11		443	-0.11
396	Meiling Wang	25.5	1347.4		365	1346.3	429	1278.8	376	1348.7		1501.5	2024-05		544	-0.32
397	Tatiana Pieri	26.6	1347.2		420	1296.3	364	1325.8	377	1348.6		1415.2	2025-09		349	0.13
398	Yasmine Mansouri	24.4	1346.3		393	1314.8	487	1211.4	378	1348.1		1399.3	2024-11		402	-0.01
399	Anja Stankovic	20.4	1345.8		429	1287.9	374	1315.3	379	1347.9		1400.2	2025-08		495	-0.22
400	Viktoria Morvayova	24.7	1345.3		386	1321.1	450	1263.1	380	1347.7		1360.5	2025-11		346	0.15
401	Rina Saigo	25.1	1344.5		380	1332.2	465	1248.3	390	1343.8		1407.3	2023-05		308	0.26
402	Sofia Rocchetti	23.2	1344.3		446	1272.6	356	1331.9	382	1347.1		1366.9	2025-11		677	-0.52
403	Amelia Rajecki	23.4	1343.9		438	1281.8	415	1286.9	391	1343.6		1468.1	2024-06		452	-0.11
404	Dasha Plekhanova	21.6	1343.2		381	1330.1	467	1247.4	384	1346.6		1414.0	2025-10		601	-0.40
405	Makenna Jones	27.4	1342.9		351	1359.1	398	1297.2	385	1346.4		1540.5	2023-10		730	-0.59
406	Tena Lukas	30.3	1342.7		415	1298.0	343	1342.4	431	1324.5		1543.0	2018-07		445	-0.09
407	Wushuang Zheng	26.9	1341.5		361	1351.6	480	1222.2	386	1345.7		1518.4	2025-04		286	0.35
408	Hiromi Abe	25.5	1340.0		383	1325.6	417	1285.0	387	1345.0		1376.6	2025-06		358	0.13
409	Anastasia Abbagnato	21.9	1339.3		428	1288.4	351	1334.4	388	1344.7		1447.4	2025-10		418	-0.02
410	Saki Imamura	23.6	1338.0		389	1318.1	420	1284.0	403	1336.0		1427.6	2025-10		374	0.09
411	Haruka Kaji	31.1	1336.9		377	1334.6	404	1294.6	316	1381.0		1517.5	2025-03		300	0.31
412	Anouck Vrancken Peeters	22.7	1336.8		366	1346.2	449	1264.1	415	1331.2		1356.3	2025-12		290	0.35
413	Emily Appleton	26.1	1334.0		426	1289.7	466	1247.5	410	1334.5		1437.9	2024-06		375	0.10
414	Kira Pavlova	21.5	1332.8		402	1304.3	424	1281.4	392	1341.4		1394.5	2024-04		422	-0.02
415	Maria Mateas	26.0	1329.7		397	1307.2	389	1305.4	454	1312.4		1528.7	2017-09		383	0.08
416	Anastasia Kulikova	25.6	1328.7		398	1306.7	362	1327.3	434	1322.4		1667.1	2021-07		510	-0.20
417	Laura Mair	22.9	1328.7		455	1263.9	348	1337.7	395	1339.3		1424.3	2025-10		628	-0.41
418	Nahia Berecoechea	21.4	1328.7		470	1240.3	340	1345.6	394	1339.3		1345.8	2025-09		474	-0.13
419	Momoko Kobori	27.1	1327.5		408	1301.1	462	1252.6	459	1308.2		1439.9	2018-05		421	0
420	Dalila Spiteri	28.5	1326.8		441	1278.5	388	1309.2	396	1338.4		1488.8	2023-07		335	0.23
421	Yaroslava Bartashevich	20.6	1326.8		448	1271.2	394	1302.7	397	1338.4		1499.9	2025-04		459	-0.09
422	Maria Kozyreva	26.4	1326.1		390	1318.0	418	1285.0	399	1338.0		1586.1	2024-03		432	-0.02
423	Anastasia Tikhonova	24.8	1326.1		406	1301.3	368	1323.5	320	1378.4		1592.0	2022-03		254	0.51
424	Maria Martinez Vaquero	23.8	1323.6		411	1300.0	439	1270.9	402	1336.8		1418.2	2025-08		501	-0.17
425	Miriana Tona	30.7	1321.8		394	1313.0	402	1295.8	404	1335.9		1429.3	2024-04		353	0.19
426	Zongyu Li	22.4	1321.3		409	1300.1	408	1292.0	405	1335.6		1441.8	2025-03		462	-0.08
427	Vivian Wolff	27.0	1320.1		387	1318.7	443	1268.7	408	1335.0		1454.9	2024-05		325	0.27
428	Lina Glushko	25.8	1319.9		407	1301.3	392	1304.1	300	1389.4		1581.4	2019-02		684	-0.47
429	Georgia Pedone	21.0	1317.0		510	1171.2	353	1333.4	429	1325.8		1563.8	2024-09		352	0.20
430	Josy Daems	19.6	1316.9		460	1259.1	453	1260.7	412	1333.4		1373.7	2025-08		494	-0.14
431	Martina Okalova	28.3	1314.5		404	1303.2	434	1275.5	413	1332.3		1504.3	2025-05		410	0.05
432	Lucija Ciric Bagaric	21.7	1313.7		453	1264.3	376	1314.9	460	1307.6		1540.7	2024-07		414	0.04
433	Diletta Cherubini	23.5	1312.8		449	1269.0	391	1304.2	414	1331.4		1417.6	2025-06		367	0.17
434	Sara Cakarevic	28.6	1312.4		437	1282.7	400	1296.6	416	1331.2		1459.6	2024-10		578	-0.29
435	Andreea Prisacariu	25.6	1310.5		461	1258.3	430	1277.1	417	1330.2		1380.7	2022-05		508	-0.16
436	Ella Mcdonald	20.2	1309.6		498	1204.0	441	1269.8	358	1356.2		1487.4	2025-06		524	-0.18
437	Noemi Basiletti	19.7	1309.5		479	1222.6	365	1325.0	418	1329.7		1452.1	2025-08		496	-0.13
438	Diana Martynov	24.4	1308.9		431	1286.0	410	1290.4	419	1329.4		1521.5	2024-10		616	-0.34
439	Daria Lodikova	29.4	1307.8		472	1234.1	397	1301.1	421	1328.9		1453.4	2024-10		531	-0.19
440	Denislava Glushkova	21.8	1307.4		301	1403.7	416	1286.8	279	1403.7		1441.2	2023-04		392	0.12
441	Madison Sieg	22.3	1306.7		436	1283.6	458	1257.9	423	1328.4		1336.0	2025-07		441	0
442	Jessica Failla	28.2	1305.4		412	1299.9	489	1209.5	448	1316.4		1414.0	2024-06		783	-0.57
443	Rasheeda Mcadoo	30.3	1304.3		443	1277.3	472	1233.2	425	1327.2		1332.8	2025-09		465	-0.05
444	Ayano Shimizu	27.6	1303.7		454	1264.3	488	1210.2	401	1336.9		1527.1	2018-07		411	0.08
445	Tessa Johanna Brockmann	20.0	1302.8		440	1280.1	442	1269.1	427	1326.4		1445.0	2025-08		289	0.43
446	Han Shi	20.4	1302.3		403	1304.1	435	1274.9	444	1317.2		1657.2	2024-08		435	0.02
447	Ekaterina Makarova	29.3	1302.2		468	1247.1	428	1279.0	515	1230.7		1452.8	2024-07		400	0.11
448	Ksenia Zaytseva	21.1	1299.8		432	1285.8	433	1275.7	430	1324.9		1468.1	2023-12		579	-0.26
449	Jamie Loeb	30.2	1298.6		444	1277.0	448	1265.4	491	1285.3		1668.4	2017-04		572	-0.24
450	Carlota Martinez Cirez	24.5	1298.0		492	1207.2	414	1287.4	466	1305.1		1420.6	2025-07		437	0.03
451	Meiqi Guo	25.7	1297.7		463	1252.5	445	1267.9	432	1323.9		1346.6	2025-09		455	-0.01
452	Ilinca Dalina Amariei	23.2	1296.7		483	1218.2	419	1284.3	433	1323.4		1358.3	2024-01		471	-0.04
453	Eudice Wong Chong	29.5	1295.0		392	1315.7	494	1195.7	290	1397.5		1640.2	2014-02		595	-0.27
454	Aurora Zantedeschi	25.0	1294.6		508	1178.0	405	1294.5	435	1322.3		1526.9	2025-03		320	0.35
455	Elina Nepliy	28.0	1293.1		457	1263.2	390	1305.1	436	1321.6		1369.6	2025-10		644	-0.35
456	Malene Helgo	26.0	1292.8		413	1298.3	455	1259.5	292	1396.4		1538.2	2017-04		533	-0.16
457	Ipek Oz	26.3	1292.6		400	1305.1	436	1273.1	486	1290.3		1563.9	2022-05		511	-0.11
458	Petra Hule	26.6	1292.5		434	1284.4	412	1290.3	509	1260.0		1511.9	2024-02		792	-0.55
459	Ena Koike	19.0	1292.4		451	1266.7	469	1245.4	437	1321.2		1385.2	2025-06		567	-0.21
460	Ankita Raina	32.7	1291.7		456	1263.3	355	1332.3	495	1282.5		1517.7	2018-04		577	-0.23
461	Ekaterina Ovcharenko	24.8	1290.0		458	1260.6	403	1295.3	439	1320.0		1402.6	2025-09		478	-0.04
462	Iva Primorac	29.4	1289.9		484	1217.5	378	1314.0	440	1320.0		1436.2	2024-09		600	-0.26
463	Urszula Radwanska	34.9	1287.3		452	1264.5	358	1331.4	449	1315.9		1885.0	2012-09		446	0.04
464	Lia Karatancheva	22.1	1287.0		477	1227.2	461	1255.4	441	1318.5		1478.0	2025-05		292	0.46
465	Alana Smith	25.9	1286.4		439	1280.6	510	1154.9	456	1311.1		1489.9	2024-11		423	0.09
466	Georgia Andreea Craciun	26.2	1283.1		505	1189.5	423	1282.6	447	1316.6		1414.9	2024-11		491	-0.05
467	Riya Bhatia	28.0	1281.9		481	1221.9	463	1251.9	489	1286.8		1363.5	2025-09		534	-0.13
468	Jenny Lim	20.7	1280.9		497	1205.3	413	1288.1	450	1315.4		1477.7	2024-05		564	-0.19
469	Alice Robbe	25.5	1279.2		482	1221.2	334	1356.4	470	1303.8		1499.5	2023-10		589	-0.23
470	Valeriya Strakhova	30.4	1278.5		502	1192.7	437	1271.9	451	1314.3		1455.2	2025-03		387	0.19
471	Ekaterina Kazionova	26.8	1277.2		495	1205.5	407	1294.0	483	1292.7		1515.5	2025-07		404	0.15
472	Melisa Ercan	20.0	1275.4		427	1288.8	490	1209.2	453	1312.7		1454.3	2024-07		614	-0.26
473	Akiko Omae	32.3	1275.3		450	1267.1	509	1159.1	514	1245.6		1368.4	2011-10		868	-0.61
474	Gina Marie Dittmann	23.1	1270.0		445	1273.7	479	1224.3	458	1310.0		1326.6	2025-09		521	-0.09
475	Leonie Kung	24.9	1268.4		417	1297.5	474	1226.5	511	1256.0		1632.1	2021-03		348	0.31
